;;;;;;;;;;x,,,,,,,,,,
EVTNAME10000;Springtime of Nations;;;;;;;;;;;;x
EVTDESC10000;After less than a decade of quiet following the Hispanian Revolution and its subsequent defeat, it was clear to all of Europe that the dark clouds of liberalism creeping across Europe were not harmless. The clouds broke into an angry storm as liberal agitation erupted into open revolution across the continent. The Monarchical Ancien Regimes of Europe could only look on in horror and disgust, as the hymns of the Hispanian Revolution could again be heard echoing from Europe's tumultuous streets, and students and youth again gathered under republican quartereds, celebrating the ideals, dreams and wishes of a young generation, animated by the powerful message of human liberty -- in economic, cultural, social and national affairs -- that was European Liberalism.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME10001;An Age of Liberalism;;;;;;;;;;;;x
EVTDESC10001;Although political liberalism was defeated not much more than a decade ago in the Hispanian War (1826-1829), its ideas and its lessons could not be purged from the memory of Europeans. Throughout Europe, as old legal systems find themselves increasingly challenged by modern technology and mores, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on the battlefields of Catalonia and Navarra, Europe stands again at the beginning of a new era: An age of Liberalism.;;;;;;;;;;x
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTDESC10050;Broken, busted, and thrown to the sides lie the barricades, and the cantoned flags have stopped waving from the window sills. The events that will be recorded by history as the $COUNTRY_ADJ$ Liberal Revolution of $YEAR$ are all in the past, and it seems that we have managed to weather the storm.;;;;;;;;;;;;x;;;;
EVTNAME10180;Anti-Albesan Tract;;;;;;;;;;;;;x;;;;
EVTDESC10180;In a time when the forces of revolution threaten to overthrow all the long-established orders of Europe, it becomes our sacred duty to voice our dissent. The Albesans -- holding nothing sacred save the profane -- are charlatans peddling false ideologies. What the liberal terror brought to Hispania, their radicalism now threatens to impose on $COUNTRY$.'\n\nThe widespread liberal agitation in $COUNTRY$ has mobilized the forces of reaction, and a leading conservative intellectual has published an Anti-Albesan tract.;;;;;;;;;;;;x;;;;
EVTNAME10210;Albesan Uprising;;;;;;;;;;;;x;;;;
EVTDESC10220;The sound of rain falling on the deserted square is deafening. A tattered pamphlet, thrown in the gutter -- the ink running out across the paper in soft blueish blooms -- is the only thing that still serves as proof that $PROVINCENAME$ was, up until just recently, a hotbed of liberal agitation. Depicted on the pamphlet is Lady Liberty, the iconographic personification of the Hispanian revolution, holding a republican cantoned flag. The pamphlet reads: 'Liberty, Equality, Brotherhood -- $COUNTRY$'. It is soon swept away by the rain and down into the sewers whence it came.;;;;;;;;;;x;;;;
EVTNAME10231;The Great Hungarian Uprising;;;;;;;;;;x
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,
EVTDESC19046;...opening the inner granite lid leading into the tomb, I was met by a breath of air that had been left undisturbed for some three thousand years. To the best of my knowledge, I was the first to disturb the Pharaoh's sleep since he was laid to rest all those thousand years ago. There, standing in the ancient air of the crypt, I felt the smells of wheat growing on the Nile, perfume in alabaster vases, and a hint of dying papyrus.'\n\nThe most marvellous discovery of the century has been made by $COUNTRY_ADJ$ archeologists working in The Valley of The Kings: The previously undiscovered tomb of the 19 year old Pharaoh, Tutankhamun.;;;;;;;;;;x;,,,
EVTOPTA19046;Glorious!;Magnifique !;Wunderbar!;;¡Glorioso!;;;;;;;;;x;;;;,,,,,,,,,,
EVTNAME19047;Mummy Found;Découverte d'une momie;Mumie gefunden;;Momia encontrada;;;;;;;;;x;;;;,,,,,,,,,,
EVTDESC19047;Our excavation team working in the Valley of The Kings has uncovered a hereto undiscovered tomb, and the mummified remains of an Egyptian High-Priest of the 19th dynasty. The interior of the tomb is rich in decorations, and the discovery is an enormous success for our Egyptian expedition.;Notre équipe de fouilles archéologiques travaillant dans la vallée des rois a découverte un tombeau jusqu'à présent inconnu, et les restes momifiés d'un grand-prêtre égyptien de la 19ème dynastie. L'intérieur de la tombe est riche en décorations, et cette découverte est un énorme succès pour notre expédition d'Egypte.;Unsere Ausgrabungsexpedition im Tal der Könige hat ein bislang unentdecktes Grab und die mumifizierten Überreste eine ägyptischen Hohepriesters der neunzehnten Dynastie gefunden. Das Innere des Grabes ist reich verziert - die Entdeckung stellt für unsere Ägypten-Expedition einen enormen Erfolg dar.;;Nuestro equipo de excavación que trabaja en el Valle de los Reyes ha descubierto una tumba hasta ahora desconocida, y los restos momificados de un sumo sacerdote egipcio de la XIX dinastía. El interior de la tumba está profusamente decorado, y el descubrimiento representa un gran éxito para nuestra expedición egipcia.;;;;;;;;;x;;;;,,,,
EVTOPTA19047;Orphans Rejoice!;Les orphelins se réjouissent !;Fantastisch!;;¡Menudo alegrón!;;;;;;;;;x;;;;,,,,,,,,,,
EVTNAME19365;The Restoration of $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC19365;An idea has been spreading among the people of $COUNTRY$... some of our lands are under foreign control, but it appears to be beyond our power to regain them on our own. $COUNTRY$ has a great power as its benevolent protector, however, does it not? The people are urging our government to approach them for aid, though some within the government are concerned this could possibly alienate our ally as well, not to mention stir up new hostility with our neighbors.;;;;;;;;;;;;x,,,,,
EVTNAME19366;The Restoration of $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC19366;Diplomats from $FROMCOUNTRY$ have quietly approached us, appealing for help in restoring their lost lands. With $COUNTRY_ADJ$, they say, $FROMCOUNTRY$ will prove a much worthier ally. There are those concerned with the trouble this might stir up, however. Should we look the other way, our prove $COUNTRY_ADJ$ influence has weight?;;;;;;;;;;;;x,,,,,
EVTNAME19367;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC19367;$FROMCOUNTRY$ has agreed to consider our proposal. It's possible they will, in the end, take no military action on our behalf… it's come to our attention that relations between them and one of our neighbours has cooled severely, however, so a war may yet come to pass.;;;;;;;;;;;;x,,,,,,
EVTNAME19368;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC19368;$FROMCOUNTRY$ has refused to intervene on our behalf. Worse, it appears the purpose of our mission has leaked to at least one of our neighbours, angering them greatly bringing threats of war against $COUNTRY$. Did $FROMCOUNTRY$ inform them? Have we been abandoned by our ally?;;;;;;;;;;;;x,,,,,,,,
EVTNAME19370;The $FROMCOUNTRY_ADJ$ Overlords;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC19370;$FROMCOUNTRY_ADJ$ soldiers marched into $CAPITAL$ today, accompanying the new $FROMCOUNTRY_ADJ$ governor who will be overseeing the operation of the $COUNTRY_ADJ$ puppet government. Already the $COUNTRY_ADJ$ people are up in arms over this imposition by a foreign power, though some are clearly questioning whether there is anything to be done. $COUNTRY$ did not submit willingly, after all, and if a rebellion breaks us free of $FROMCOUNTRY_ADJ$ control would they not simply invade once again? Perhaps $COUNTRY$ has suffered enough.;;;;;;;;;;;;x,,,,,,
EVTNAME20110;Natives in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC20110;A recent demonstration in $PROVINCENAME$ has brought attention to the plight of natives in $STATENAME$, namely to their oppression by the $COUNTRY_ADJ$ government and their demands for independence. If something isn't done soon we may be facing intervention by foreign powers.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME20111;Trouble in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC20111;A recent riot in $PROVINCENAME$ has brought a great deal of attention to $STATENAME$-- the kind that would normally prompt the great powers to consider intervention. It seems, however, that the demands for independence by 'uncivilized' peoples has largely fallen on deaf ears. News of the trouble has faded away as quickly as it began.;;;;;;;;;;;;x,,,,,,,,
EVTNAME20112;Long Memories;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC20112;While recent trouble in $STATENAME$ has raised the spectre of foreign intervention once again, there are many who remember the last crisis over $STATENAME$'s people as if it were yesterday. Try as they might, the world is simply not ready to listen to them again-- yet.;;;;;;;;;;;;x,,,,,,,,
EVTNAME20115;Incident in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC20115;A demonstration by $PROVINCECULTURE$ citizens in $PROVINCENAME$ quickly got out of hand as $COUNTRY_ADJ$ soldiers shot into the crowd to disperse it. A riot ensued, and several protestors were slain. Throughout $STATENAME$, the reaction has been one of outrage-- and there is an effort by some $PROVINCECULTURE$ malcontents to draw the attention of the world, just one more example of $COUNTRY$'s disregard for peace and civilized behavior-- or so they'll say.;;;;;;;;;;;;x,,,,,,,
EVTNAME31515;The Greater Germany Question;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC31515;Austrians have always walked a path slightly apart from those of their fellow Germans, and the notion of greater unification has never caught on in Austria as it has in the north. Lately there are those who question that path, citing the ascension of a great power who stands ready to lead us into a Greater Germany. Considering that non-German cultures within Austria would never accept dominance by such a union, and that it would alarm European powers to an unprecedented degree, we have to wonder where our path should now lie?;;;;;;;;;;;;x,,,,,,
EVTNAME31516;$FROMCOUNTRY$ Petitions to Join Germany;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC31516;The $FROMCOUNTRY_ADJ$ government met with the $COUNTRY_ADJ$ government in $CAPITAL$ today, expressing their desire to unite into a 'Greater Germany'. They do so with the full intent of incorporating not only their German-speaking territories, but also any lands they own belonging to other cultures. While such a Greater Germany would undoubtedly be a power unheard-of in the world, there are those who express caution: the world's great powers would almost certainly object to such a union, not to mention the fact that the non-Germany cultures would likely rebel against our dominance.;;;;;;;;;;;;x,,,,,,
EVTNAME31518;$FROMCOUNTRY$ Refuses German Unity!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC31518;There has been much talk in $CAPITAL$ in recent days of possible unification with $FROMCOUNTRY$ into a 'Greater Germany'. This talk was finally shot down by the $FROMCOUNTRY_ADJ$ government, which stated that $FROMCOUNTRY$'s path is separate from $COUNTRY$'s. There are those within the $COUNTRY_ADJ$ government, however, who believe this is unacceptable. While it would undoubtedly destroy our relationship with $FROMCOUNTRY$ and upset the powers of Europe, laying a claim to the German-speaking parts of $FROMCOUNTRY$ is a possibility.;;;;;;;;;;;;x,,,,,,
EVTDESC31519;The $FROMCOUNTRY_ADJ$ government met with the $COUNTRY_ADJ$ government in $CAPITAL$ today, expressing their desire to unite into a 'Greater Germany'. Their only stipulation on the union is that their non-German states be incorporated as self-governing regions, no doubt to minimize the objection of European powers-- though there are those who believe the European powers will be unhappy with such an arrangement even so.;;;;;;;;;;;;x,,,,,,,,
EVTDESC31530;Austrians have always walked a path slightly apart from those of their fellow Germans, and the notion of greater unification has never caught on in Austria as it has in the north. Lately there are those who question that path, citing the ascension of a great power who stands ready to lead us into a Greater Germany. Considering such a union could alarm the powers of Europe to a great degree, we have to wonder where our path should now lie?;;;;;;;;;;;;x,,,,,,,
EVTDESC31531;The $FROMCOUNTRY_ADJ$ government met with the $COUNTRY_ADJ$ government in $CAPITAL$ today, expressing their desire to unite into a 'Greater Germany'. While such a nation would undoubtedly be a power unheard-of in the world, there are those who express caution: the world's great powers would likely object to such a union. Is Greater Germany worth the possibility of war?;;;;;;;;;;;;x,,,,,,,,
EVTNAME36960;The Gold Coast Treaty;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC36960;The $FROMCOUNTRY_ADJ$ government has approached us with the hopes of negotiating a treaty. They want to solidify control over the Gold Coast in Africa, specifically by annexing our colony at Sekondi. In return, they will recognize our colonial holdings elsewhere and encourage greater cooperation between our nations.;;;;;;;;;;;;x,,,,,,,,
EVTNAME46605;The Argentine Confederation;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC46605;Unrest is stirring against the Rosas dictatorship in Argentina, with liberals demanding a constitution and a trasition to democratic rule. Justo José de Urquiza, the governor of Entre Rios, has approached the $COUNTRY_ADJ$ government and asked us to support an uprising should Rosas refuse the liberal demands.;;;;;;;;;;;;x,,,,,,,
EVTNAME46610;The Constitutional Demand;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC46610;General Justo José de Urquiza, the governor of Entre Rios, has turned against the Rosas government and demanded that it submit to liberal demands for a new constitution. There are hints that neighboring governments might support Urquiza, and that should he rise up in rebellion against us they will intervene on his behalf.;;;;;;;;;;;;x,,,,,,,
EVTNAME46611;The Argentine Constitution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC46611;With Rosas unable to defeat the Entre Rios rebellion, he has been forced to flee Argentina and General Urquiza has assumed temporary control of the government. Meeting with liberals in Santa Fe, they have drawn up a new constitution which has created an Argentine Republic. The Buenos Aires province is displeased and vows to resist,but the wind of change is clear.;;;;;;;;;;;;x,,,,,,,
EVTNAME46612;General Urquiza Defeated;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC46612;The rebellion in Entre Rios has been put down, and both General Urquiza and his liberal supporters have been captured and executed. The Argentine states have submitted to the will of Buenos Aires.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME49501;Reforming the Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC49501;Members of the $FROMCOUNTRY$ government have approached us, suggesting that the Kalmar Union must be ressurrected. For the moment, this is simply an idea, a suggestion that the Scandinavian nations should work together towards an eventual union. If we disagree, it's possible that the idea dies here. If we don't, $FROMCOUNTRY$ might be mortally insulted. If Scandinavians are to take their rightful place in Europe, however, perhaps there is merit in their proposal.;;;;;;;;;;;;;x,,,
EVTOPTA49501;A royal marriage cannot hurt, I suppose.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTB49501;We see little reason to join such a union.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME49502;$FROMCOUNTRY$ Has Refused!;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC49502;$FROMCOUNTRY$ has refused the $COUNTRY_ADJ$ proposal. It is now in our hands whether to let the Union die here and now, or force $FROMCOUNTRY$  to join us whether they like it or not.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA49502;Oh well, I guess that's over then.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTB49502;We'll see how they feel with an army in their capital...;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME49503;Form a Customs Union?;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC49503;$FROMCOUNTRY$ has proposed the next logical step in our mutual cooperation: a customs union between $COUNTRY$ and $FROMCOUNTRY$, indeed all of Scandinavia, which would remove the restrictions on trade between us.;;;;;;;;;;;;;x,,,,,,,,
EVTOPTA49503;A customs union cannot hurt, I suppose.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTB49503;This is going too far.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME49504;Form a Political Union?;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC49504;$FROMCOUNTRY$ has suggested a political union between their country and $COUNTRY$, arguing that this is the next logical step for Scandinavia's security.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA49504;It seems like a logical argument.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB49504;This is going too far.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME49505;Norway Asks For Independence;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC49505;Your Norwegian subjects seek to establish their own independent kingdom. The other European powers support their independence, and will be upset if we refuse.;;;;;;;;;;;;;x,,,,,,,,,
EVTNAME49506;Norway Demands Independence;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC49506;This time they are not asking nicely. Independence or war.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME49508;Danish Independence;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC49508;Your Danish subjects wish to end our union.;;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME49509;The Leadership of Kalmar;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC49509;As our power in Scandinavia wanes and $FROMCOUNTRY_ADJ$ influence grows, so does the focus of the union move to them.;;;;;;;;;;;;;x,,,,,,,,,
EVTNAME60160;Birth of a Nation;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC60160; Today crowds gathered in $CAPITAL$ to celebrate $COUNTRY$'s independence. In the modern world, independence can be a fleeting thing-- so we must enjoy it while we can. Today, $COUNTRY_ADJ$ flags wave from every window and corner, and jubilant citizens sing the $COUNTRY_ADJ$ anthem. It is a heartfelt theme that speaks of better tomorrows.;;;;;;;;;;;;x,,,,,,,
EVTNAME66689;Lucky Nations;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC66689;Sometimes in this world, nations seem to be blessed by God in certain periods. Their leaders are brilliant, their people are hardy, they excel in warfare, produce amazing works of culture, and their economies boom. Do we live in such a world? If Lucky Nations are turned on, ten random civilized nations who are not Great Powers and five random uncivilized nations will be given special bonuses that will enable them to shake up the status quo of the world by giving them significant bonuses.;;;;;;x,,,,
EVTOPTA66689;Turn Lucky Nations On.;;;;;;x,,,,,,,,,,
EVTOPTB66689;Keep Lucky Nations Off.;;;;;;x,,,,,,,,,,
EVTNAME80120;Hui Unrest in $STATENAME$;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC80120;Though tolerant of religious practices, the Hui Muslims in $PROVINCENAME$ are resentful of discrimination by the Qin government. Unrest in the province has stirred up anti-Manchu sentiment, even among non-Muslims. The violence is threatening to spread throughout all of $STATENAME$.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME80121;Panthay Rebellion;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC80121;Have Peace with Han Chinese!\nDown with Qin court!\n\nA rebellion has erupted in the southern province of Yunnan, led by a rebel named Du Wenxiu. The man's forces have already captured Dali and driven out the Qin governor, forcing our government to deal with the matter directly.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME80122;Panthay Rebellion Crushed;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC80122;With Qin forces marching into Kunming, the Panthay Rebellion is officially over. The rebels and their leaders have been routed, and already measures are being taken to ensure there are no further disturbances.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME80123;Panthay Rebellion Victorious!;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC80123;We have driven the hated Manchu from Yunnan. At last, victory is ours!;;;;;;;;;;;;;x,,,,,,,,,
EVTNAME80125;Dungan Revolt;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC80125;With Muslim-led unrest existing throughout the province on Xinjiang, a Tajik adeventurer by the name of Yaqub Beg has led rebels to seize the capital of Kashgar and has driven Qin governors away. The situation in the frontier appears to be out of hand, with these Muslims having declared an independent state and full Jihad against the Emperor.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME80126;Dungan Revolt Crushed;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC80126;With Qin forces marching into Kashgar, the Dungan Revolt is officially over. The rebels and their leaders have been routed, and already measures are being taken to ensure there are no further disturbances.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME80127;Dungan Revolt Victorious!;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC80127;We have driven the hated Manchu from Kashgaria. At last, victory is ours!;;;;;;;;;;;;;x,,,,,,,,,
EVTNAME85010;The Ganghwa Incident;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC85010;A $COUNTRY_ADJ$ vessel, surveying the Korean coastline and damaged by a storm, was drawing near Ganghwa Island in search of safe harbour when it was fired on by the coastal Korean fortress. In a fury, our ship returned fire and then landed a party to battle the Koreans on land. After victory, they returned home-- but word of the assault has spread. This is yet another example of Korea flaunting its disrespect for $COUNTRY_ADJ$ authority. Many within the government are suggesting we demand not only an apology, but force a treaty upon the Koreans which will see their nation forced to open itself to our influence.;;;;;;;;;;;;;x,,,,,
EVTDESC85011;A $FROMCOUNTRY_ADJ$ vessel, surveying the $COUNTRY_ADJ$ coastline and damaged by a storm, was drawing near Ganghwa Island in search of safe harbour when it was fired on by the coastal fortress-- who assumed the vessel to be an enemy. In a fury, their ship returned fire and then landed a party to battle our forces on land. They returned home victorious, but words of the assault has spread and now a $FROMCOUNTRY_ADJ$ delegation has arrived in $CAPITAL$ to demand compensation-- in the form of an unequal treaty requiring $COUNTRY$ be opened to their influence.;;;;;;;;;;;;;x,,,,,,
EVTDESC85012;A Japanese vessel, surveying the Korean coastline and damaged by a storm, was drawing near Ganghwa Island in search of safe harbour when it was fired on by the coastal fortress-- who assumed the vessel to be an enemy. In a fury, the Japanese ship returned fire and then landed a party to battle Korean forces on land. The Japanese returned home victorious, but words of the assault has spread and now we hear tale that they have forced the Koreans to sign an unequal treaty in consequence... one which has forced them to sever tributary ties to $COUNTRY$.;;;;;;;;;;;;;x,,,,,,
EVTNAME85015;Korean Surrender;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC85015;We are being overwhelmed by the superior might of Japanese armaments. Despite the loss of face, we must consider offering the hated Japanese terms of our surrender.;;;;;;;;;;;;;x,,,,,,,,,
EVTNAME85020;Tonghak Rebellion;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC85020;With increasing frustration against government corruption and foreign influence in $COUNTRY$, a rebel movement has appeared among followers of the Tonghak or 'Eastern Learning' ideology. They have been stirring up the peasant classes, forming poorly-armed if numerous armies to purge the capital and rid the country of Japanese and other foreign presence. We will need to move quickly if we wish to prevent them from overthrowing the government or causing an incident with neighbouring powers.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME85021;Tonghak Rebellion Ended;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC85021;The unrest caused by the Tonghak movement appears to be coming to an end. The militant leaders have vanished into the countryside, and their followers have dispersed. Order is restored-- for now.;;;;;;;;;;;;;x,,,,,,,,,
EVTDESC85025;The $COUNTRY_ADJ$ government has received reports of a massive rebellion forming in Korea, serious enough that several members of the Korean government have sent an urgent call to $COUNTRY$ to intervene. Any forces we dispatch will likely provoke a response from Japan, who will fear that we are attempting to uproot their influence. This may, however, be an opportunity for $COUNTRY$ to solidify our own influence in Korea-- many advisors are saying that we cannot allow the potential response from Japan stop us from acting.;;;;;;;;;;;;;x,,,,,,
EVTNAME85026;$FROMCOUNTRY$ Intervenes in Korea;;;;;;;;;;;;;x,,,,,,,,,,
