#unequal_treaty_desc;The Japanese are at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both trading privileges and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;x,,,,,,,,,,,,,
organize_tanzania_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_tanzania_title;Organize Tanganyika;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_togo_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_togo_title;Organize Togo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_uganda_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_uganda_title;Organize Uganda;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_zaire_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_zaire_title;Organize Free Congo State;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_zambia_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_zambia_title;Organize Zambia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_zanzibar_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
organize_zanzibar_title;Organize Zanzibar;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
otto_von_bismarck;Otto von Bismarck;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
otto_von_bismarck_desc;The current Chancellor of our nation, von Bismarck is a remarkable statesmanÖ perhaps one of the finest our nation will ever know.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
overthrow_the_bakufu_desc;The time has come to restore Emperor Meiji to power. For too long has the imperial court been forced to remain but a figurehead, with central authority remaining with the tyrannical Tokugawa clan. Japan must have one ruler, an Emperor that can lead the nation into the future. Let us send our forces to Kyoto, to seize the imperial palace and set the coup in motion.\n\nßRNOTE: To win this war, you must occupy Edo or White Peace with the Shogun. You must not allow Kyoto and your capital to become occupied.ßW;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
overthrow_the_bakufu_title;Overthrow the Bakufu;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
peace_with_the_emperor_desc;Since the ascension of the Tokugawa Shogun, the Emperor has remained a figurehead. Even so, he is a leader of the Japanese people and, at times, has expressed dissatisfaction with our own position as ruler of Japan. This has caused conflict, and should we reach a point where our positions are not so different-- and, indeed, the Emperor is satisfied with our ability to rule, perhaps we can bring this conflict to an end once and for all.;;;;;;;;;;;;;x,,,,,,,,,,,,,,
peace_with_the_emperor_title;Peace With the Emperor;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
peking_convention_TPG_desc;Since the Treaty of Nerchinsk (1689), the Russian Empire has recognized the Argun river and the Stanovoy mountains as the natural frontiers between Russia and China.  In the mid 19th century the Russians would expand beyond this border to seize the vast lands between the Stanovoy Mountains and the Amur River. The Western Allies would later bring the Second Opium War to a conclusion by burning the Chinese Emperor's summer palaces, and entering Beijing. A cunning major general named Nikolay Ignatiev was able to convinced the Chinese that only Russian support would cause the allies to evacuate Peking. The price for this support was the Convention of Peking, which confirmed Muravyov's gains and, additionally, ceded territory between the Ussuri River and the Pacific to Russia. Thus, Russia had gained some 350,000 square miles of territory without firing a single shot.;Depuis le traitÈ de Nerchinsk (1689), líEmpire russe a reconnu le fleuve Argun et les monts Stanovoy comme frontiËre naturelle entre la Russie et la Chine.  Au cours du XIXe siËcle, les Russes franchirent cette frontiËre pour síemparer des vastes territoires entre les monts Stanovoy et le fleuve Amour. Les Puissances occidentales mirent plus tard un terme ‡ la seconde guerre de líopium en br˚lant les palais díÈtÈ de líempereur et en síemparant de PÈkin. Un gÈnÈral russe avisÈ du nom de NicolaÔ Ignatiev parvint ‡ convaincre les chinois que seul le soutien de la Russie permettrait l'Èvacuation de PÈkin par les alliÈs. Le prix de ce soutien fut la convention de PÈkin, qui entÈrinait les conquÍtes de Muravyov et cÈdait ‡ la Russie les territoires entre le fleuve Ussuri et la cÙte pacifique. Ainsi, la Russie gagna-t-elle 560†000 kilomËtres carrÈs sans tirer un coup de fusil.;Seit dem Vertrag von Nertschinsk (1689) hatte das russische Reich den Fluss Argun und das Stanowoigebirge als nat¸rliche Grenze zwischen Russland und China betrachtet. Mitte des 19. Jahrhunderts wollten die Russen diese Grenze erweitern, um das weitr‰umige Gebiet zwischen dem Stanowoigebirge und dem Fluss Amur zu annektieren. Sp‰ter beendeten die westlichen Alliierten den zweiten Opiumkrieg durch Niederbrennen der Sommerpal‰ste des chinesischen Kaisers und marschierten in Peking ein. Der gerissene Generalmajor Nikolai Ignatjew konnte die Chinesen ¸berzeugen, dass sie die Westm‰chte nur mit russischer Unterst¸tzung zum Abzug bewegen kˆnnen w¸rden. Der Preis f¸r diese Unterst¸tzung war die Pekinger Konvention, die Murawjows Forderungen best‰tigte und Russland zus‰tzlich noch das Territorium zwischen dem Fluss Ussuri und dem Pazifik zusprach. Russland hatte sich also einen Gebietsgewinn von 350000 Quadratmeilen verschafft, ohne einen einzigen Schuss daf¸r abzufeuern.;;Desde el tratado de Nerchinsk (1689), el imperio ruso siempre habÌa reconocido el rÌo Argun y la cordillera de Stanovoy como fronteras naturales entre Rusia y China.  A mediados del siglo XIX, los rusos se expandirÌan m·s all· de esta frontera para apoderarse de los vastos territorios situados entre las montaÒas Stanovoy y el rÌo Amur. M·s adelante, los paÌses occidentales pondrÌan fin a la Segunda Guerra del Opio incendiando los palacios estivales del emperador de China y ocupando PekÌn. Un astuto general llamado Nikolay Ignatiev logrÛ convencer a los chinos de que solo el apoyo de Rusia obligarÌa a los aliados a evacuar la capital. El precio de este apoyo fue la convenciÛn de PekÌn, donde se confirmaron las ganancias obtenidas por Muravyov y, adem·s, China cediÛ a Rusia nuevos territorios entre el rÌo Ussuri y el PacÌfico. De este modo, Rusia adquiriÛ unas 350.000 millas cuadradas de territorio sin tener que disparar un solo tiro.;;;;;;;;;x
peking_convention_TPG_title;The Peking Convention;La convention de PÈkin.;Die Pekinger Konvention;;La convenciÛn de PekÌn;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
perfect_fusion_desc;Now that liberal forms have been introduced to our nation's government, the people of Sardinia have come to view their separate status as more of a liability than a privilege. Perhaps an act of 'Perfect Union' between the Sardinians and the northern Italians is required to at last bring harmony to our house and aid the eventual reuinification of Italy.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
perfect_fusion_title;Fusione Perfetta;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
persian_border_dispute_desc;The lands of Khuzestan have been dominated by Persia for too long! It is time for us to assert our rights and take back our own!;;;;;;;;;;;;;x,,,
persian_border_dispute_title;Persian Border Dispute;;;;;;;;;;;;;x,,,
plombieres_desc;We should seek french help to kick Austria out of Italy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
plombieres_title;Accordo di PlombiËres;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
portuguese_civil_code_desc;The Portuguese Civil Code was unique for European civil codes, in its characterization of laws in terms of the person and property; it was divided into four sections: the person, the acquisition of goods, goods, and the defense of those goods or rights.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
portuguese_civil_code_title;Portuguese Civil Code;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
protect_eastern_christians_desc;If we are to retain our status as the defenders of eastern Christians, we must act now and make war upon the Turks and her allies. We will not be denied!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
provincia_cisplatina_desc;The Provincia Cisplatina was brazilian once, and shall be brazilian again!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
provincia_cisplatina_title;Provincia Cisplatina;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
purchase_spanish_pacific_desc;With the Spanish having lost their colonial facilities in Manila, their Pacific holdings are difficult to administrate and incredibly expensive for them. Considering that our government's interests lie in obtaining a foothold in the Pacific, we should perhaps approach them with the notion of purchasing these islands for ourselves.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
purchase_spanish_pacific_title;Purchase the Spanish Pacific;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
putiatin_mission_desc;The Japanese islands have only recently begun to communicate with the larger world. Considering the border we share in the Kurils, it might be prudent to send a mission to open up formal diplomatic ties with the Japanese and work out an arrangement to avoid future conflict over the islands.;;;;;;;;;;;;x,,,,,,,,,,,,
putiatin_mission_title;The Putiatin Mission;;;;;;;;;;;;x,,,,,,,,,,,,,
rangit_singh_desc;The Maharajah Ranjit Singh has united the Panjabi misls under a single flag. He has formed a secular and tolerant state, one that has thrown off the Afghan yoke and resisted the encroaching imperialists. The future of the Sikh Empire is bright!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
rangit_singh_title;Rule of the Maharajah;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rebel_cell_discovered;Rebel Cell Discovered;;;;;;;;;;;;x,,,,,,,,,,,,,
rebel_cell_discovered_desc;With one rebel cell uncovered, it's only a matter of time before we discover the rest and stamp them out!;;;;;;;;;;;;x,,,,,,,,,,,,
recent_crisis;Recent Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,
recent_crisis_desc;We have been the instigators in a recent crisis. Until memories fade, the world will likely tend to overlook any further demands we make for our territories.;;;;;;;;;;;;x,,,,,,,,,,,,
reclaim_alsace_lorraine_desc;The neighboring territory of Alsace-Lorraine is inhabited by German people, and rightfully belongs to Germany. We renounced our rightful claim to it, but perhaps the time has come for us to re-assert our claim and liberate the Germans who live there?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
reclaim_alsace_lorraine_title;Reclaim Alsace-Lorraine;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_croatia_desc;The Croatians renounced their ties to Hungary during the revolution, but now the time has come to reclaim our ancient kingdom's western shores.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reclaim_croatia_title;Reclaim Croatia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_palestine_desc;The Israelis have unlawfully occupied our lands. Now is the time to reclaim them for Palestine!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_palestine_title;Reclaim Palestine;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_poland_GER_desc;Our lands in Poland were stripped from us unfairly. Now is the time to reclaim those lands in the name of Germany!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_poland_GER_title;Reclaim Poland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_poland_RUS_desc;Our lands in Poland were stripped from us unfairly. Now is the time to reclaim those lands in the name of Russia!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_poland_RUS_title;Reclaim Poland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_cuba_desc;The Cubans have established themselves as a free country, and it falls on the Americans as descendants of the Sons of Liberty to officially recognize their independence and encourage their growth as American allies.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
recognize_cuba_title;Recognize Cuban Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_phillipines_desc;The Filipinos have established themselves as a free country, and it falls on the Americans as descendants of the Sons of Liberty to officially recognize their independence and encourage their growth as American allies.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
recognize_phillipines_title;Recognize Filipino Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
recognize_puerto_rico_desc;The Puerto Ricans have established themselves as a free country, and it falls on the Americans as descendants of the Sons of Liberty to officially recognize their independence and encourage their growth as American allies.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
recognize_puerto_rico_title;Recognize Puerto Rican Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reform_hansa_desc;The Hanseatic League used to be a major economic, political and military player in Northern Europe, protecting and pressing the interests of its member cities and through its wealth, maintaining many privileges for its citizens. Although the Hansa had lost members and power to the point of absolute irrelevance by the time of the last official Hansetag in 1669, Lubeck, Hamburg and Bremen remain de facto members to this day. Citing our political renaissance, we can now propose the creation of a new Hansa.;;;;;;;;;x
reform_hansa_title;Reforming the Hansa;;;;;;;;;x
reform_kalmar_desc;Once all of Scandinavia was ruled by a single monarch, our people united in purpose. With our nation on the rise in power and prestige, it is time to resurrect the Kalmar Union once more. For now this is just an idea, and one we must convince the other Scandinavian countries to accept. In time, they will come to see the benefit inherent in our common bond.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
reform_kalmar_title;Reform the Kalmar Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
refuse_line_of_advantage_desc;Instead of focusing on military might and conquest, Japanese security must be provided by devotion to technological progress and reform. We must match the Western powers, and quickly, or they will surely take advantage and find Japan sorely unprepared.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
refuse_line_of_advantage_title;The Path of Progress;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
remove_undesireables;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_desc;Our country has been plagued for far too long by people not of our culture. These people are bringing down our economy, causing all our problems, and are the source of all our woes. We should institute a program to remove these people from our glorious country.;;;;;;;;;;;;;x
remove_undesireables_setup;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_short;Remove Undesireables;;;;;;;;;;;;;x
remove_undesireables_title;Remove the Undesireables;;;;;;;;;;;;;x
reorganize_CAR_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_CAR_title;Claim Ubangi-Chari;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_angola_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_angola_title;Claim Angola;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_cameroon_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_cameroon_title;Claim Cameroon;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_chad_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_chad_title;Claim Chad;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_congo_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_congo_title;Claim Congo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_gabon_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_gabon_title;Claim Gabon;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_gambia_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_gambia_title;Claim the Gambia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_guinea_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_guinea_title;Claim Guinea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_indochina_desc;Now that we have taken possession of this Indochinese colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,
reorganize_indochina_title;Claim Indochina;;;;;;;;;;;;;x,,,,,,,,,,,,,
reorganize_indonesia_desc;Now that we have taken possession of this East Indies colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,
reorganize_indonesia_title;Claim Indonesia;;;;;;;;;;;;;x,,,,,,,,,,,,,
reorganize_ivory_coast_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_ivory_coast_title;Claim Ivory Coast;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_kenya_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_kenya_title;Claim Kenya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_libya_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_libya_title;Claim Libya;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_malawi_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_malawi_title;Claim Nyasaland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_mali_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_mali_title;Claim Mali;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_mozambique_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_mozambique_title;Claim Mozambique;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_niger_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_niger_title;Claim Niger;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_nigeria_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_nigeria_title;Claim Nigeria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_senegal_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_senegal_title;Claim Senegal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_sierra_leone_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_sierra_leone_title;Claim Sierra Leone;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_south_africa_desc;Now that we have taken possession of the Kaap Colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,
reorganize_south_africa_title;Claim South Africa;;;;;;;;;;;;;x,,,,,,,,,,,,,
reorganize_tanzania_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_tanzania_title;Claim Tanzania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_togo_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_togo_title;Claim Togo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_zaire_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_zaire_title;Claim Free Congo State;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reorganize_zambia_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reorganize_zambia_title;Claim Zambia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
repeal_sharia_law_desc;Ours may be an Islamic union, but it is no longer a nation based on fundamental religious rule. We must repeal the strict Sharia laws which have held back our nation for so long.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
repeal_sharia_law_title;Repeal Sharia Law;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
restart_the_caucasian_war;Restart the Caucasian War;;;;;;;;;;;;;x
restart_the_caucasian_war_desc;Although Russia put the Caucasian War on hold during their wars with Persia and the Ottoman Empire, now Russia has a chance to save face and ensure its hegemony over the Caucasus. This is not a decision to be taken lightly, as the war has raged in one form or another since 1763.;;;;;;;;;;;;;x
restart_the_caucasian_war_setup;Restart the Caucasian War;;;;;;;;;;;;;x
restart_the_caucasian_war_short;Restart the Caucasian War;;;;;;;;;;;;;x
restart_the_caucasian_war_title;Restart the Caucasian War;;;;;;;;;;;;;x
restore_khmer_empire_desc;The Khmer Empire was once the greatest in Southern Asia, let us reclaim our old lands and forge an empire that will stand against the powers of the West.;;;;;;;;;;;;;x,,
restore_khmer_empire_title;Restoration of the Khmer Empire;;;;;;;;;;;;;x,,,
reunification_of_china_KMT_desc;With control over the capital, we may assume leadership over the government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_KMT_title;Reunification of Nationalist China;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_communist_desc;With control over the capital, we may assume leadership over the government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_communist_title;Reunification of China;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_desc;With control over the capital, we may assume leadership over the government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reunification_of_china_title;Chinese Reunification;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
revoke_roman_empire_desc;Rome is lost to us, at this point we have no longer have a legitimate claim on the title of Rome, we should move our empire back to the east.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
revoke_roman_empire_title;Restoring Byzantium;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rio_da_prata_desc;As the Parana river is the natural southern border of Brazil, it's natural for such a great country to conquer Entre-Rios.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
rio_da_prata_title;Natural Borders;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rio_grande_treaty_desc;Our allies in the Rio Grande should be approached to find their willingness to turn over lands claimed by the state of Texas.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rio_grande_treaty_title;Treaty of the Rio Grande;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rus_claim_lodermia_desc;The region of Ruthenia has belonged to the Austrians since the first partition of Poland, today we declare that we will rectify this mistake, bringing the Russian peoples there back into the fold.;;;;;;;;;;;;;x
rus_claim_lodermia_title;The Fate of Ruthenia;;;;;;;;;;;;;x
russian_sakhalin_desc;With the hated Japanese finally driven out of Sakhalin and Russia in full control of the islands, Russian administration and names can at last be restored.;;;;;;;;;;;;;x,,,,,,,,,,,,
russian_sakhalin_title;Russian Sakhalin;;;;;;;;;;;;;x,,,,,,,,,,,,,
russian_vladivostokSOV_desc;In July of 1860 the port of Vladivostok, or ìRuler of the East,î was founded near the Korean frontier.  It would become a major Russian trade port and shipbuilding yard. Eventually, it would become the focal point of an intercontinental railroad as well as a major scientific, cultural, and industrial center in its own right. The Czar dreamed that the city would become a hub connecting the west with the east. Perhaps the railroad to Vladivostok will eventually replace the Suez Canal as the bearer of goods and raw materials between the East and the West?;En juillet 1860, le port de Vladivostok, ´†le maÓtre de líOrient†ª en Russe, fut fondÈ prËs de la frontiËre corÈenne.  Il deviendra un des principaux ports et chantiers navals de Russie. La ville finira par devenir le point central díun rÈseau ferroviaire intercontinental ainsi quíune grande capitale scientifique, culturelle et industrielle. Le tsar rÍvait díen faire une passerelle entre l'Occident et l'Orient. Peut-Ítre quíun jour, le chemin de fer de Vladivostok remplacera-t-il le canal de Suez dans líacheminement des marchandises et des matiËres premiËres entre líOrient et líOccident†?;"Im Juli 1869 wurde der Hafen von Wladiwostok, oder auch ""Der Herrscher des Ostens"" nahe der koreanischen Grenze eingeweiht. Er entwickelte sich im Laufe der Zeit zu einem wichtigen Handelshafen und Werftstandort f¸r Russland. Schlieﬂlich wurde Wladiwostok zum Mittelpunkt einer interkontinentalen Eisenbahnstrecke sowie zu einem eigenst‰ndigen Wissenschafts-, Kultur- und Industriezentrum. Der Zar tr‰umte davon, dass die Stadt der Hauptverbindungspunkt zwischen Ost und West werden w¸rde. Vielleicht wird Wladiwostok schlieﬂlich sogar den Suezkanal als Haupttransportader von G¸tern und Rohmaterialien zwischen der ˆstlichen und westlichen Hemisph‰re ersetzen?";;En julio de 1860 se fundÛ el puerto de Vladivostok (conocido como ìseÒor de orienteî) cerca de la frontera con Corea.  Se convertirÌa en un importante n˙cleo comercial ruso y un astillero de primer orden. Con el tiempo, llegarÌa a ser el punto focal de un ferrocarril intercontinental, asÌ como un importantÌsimo centro cientÌfico, cultural e industrial por propio derecho. El zar soÒaba que la ciudad se convertirÌa en un eje de conexiÛn entre oriente y occidente. Incluso, quiÈn sabe, el ferrocarril de Vladivostok podÌa llegar a reemplazar al canal de Suez como principal vÌa de transporte de mercancÌas entre el este y el oeste...;;;;;;;;;x
russian_vladivostokSOV_title;The Ruler of the East;Le maÓtre de líOrient;Der Herrscher des Ostens;;El seÒor de oriente;;;;;;;;;x
ryukyu_is_japanese_desc;The islands that were once Ryukyu are rightfully Japanese territory. We must establish our claim to them!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ryukyu_is_japanese_title;Ryukyu Is Japanese;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
